Sample	Gender	Pop	Sub.pop	hg19	hg38
HG01846	male	EAS	KHV	Y	Y
HG02220	female	EUR	IBS	Y	Y
HG02494	female	SAS	PJL	Y	Y
HG01783	male	EUR	IBS	Y	Y
HG02078	female	EAS	KHV	Y	Y
HG01790	female	EUR	GBR	Y	Y
HG02425	female	AMR	PEL	Y	Y
HG02085	male	EAS	KHV	Y	Y
HG02131	male	EAS	KHV	Y	Y
HG02583	female	AFR	GWD	Y	Y
HG02073	male	EAS	KHV	Y	Y
HG01923	male	AMR	PEL	Y	Y
HG02105	female	AMR	PEL	Y	Y
HG02179	female	EAS	CDX	Y	Y
HG02181	female	EAS	CDX	Y	Y
HG02521	male	EAS	KHV	Y	Y
HG02390	male	EAS	CDX	Y	Y
HG01935	male	AMR	PEL	Y	Y
HG02395	male	EAS	CDX	Y	Y
HG02470	male	AFR	ACB	Y	Y
HG01942	female	AMR	PEL	Y	Y
HG01947	male	AMR	PEL	Y	Y
HG02299	male	AMR	PEL	Y	Y
HG02545	male	AFR	ACB	Y	Y
HG02003	female	AMR	PEL	Y	Y
HG02716	female	AFR	GWD	Y	Y
HG02008	male	AMR	PEL	Y	Y
HG02010	female	AFR	ACB	Y	Y
HG02728	female	SAS	PJL	Y	Y
HG02275	female	AMR	PEL	Y	Y
HG02759	male	AFR	GWD	Y	Y
HG02104	male	AMR	PEL	Y	Y
HG02111	female	AFR	ACB	Y	Y
HG02408	male	EAS	CDX	Y	Y
HG02116	male	EAS	KHV	Y	Y
HG02691	female	SAS	PJL	Y	Y
HG02696	male	SAS	PJL	Y	Y
HG02084	female	EAS	KHV	Y	Y
HG02364	male	EAS	CDX	Y	Y
HG02089	female	AMR	PEL	Y	Y
HG02371	male	EAS	CDX	Y	Y
HG01954	female	AMR	PEL	Y	Y
HG02345	female	AMR	PEL	Y	Y
HG02658	female	SAS	PJL	Y	Y
HG01961	male	AMR	PEL	Y	Y
HG02660	male	SAS	PJL	Y	Y
HG01992	female	AMR	PEL	Y	Y
HG01997	female	AMR	PEL	Y	Y
HG02792	male	SAS	PJL	Y	Y
HG01973	female	AMR	PEL	Y	Y
HG01980	female	AMR	PEL	Y	Y
HG02554	male	AFR	ACB	Y	Y
HG02817	female	AFR	GWD	Y	Y
HG02561	male	AFR	GWD	Y	Y
HG02489	male	AFR	ACB	Y	Y
HG03012	male	SAS	BEB	Y	Y
HG02491	female	SAS	PJL	Y	Y
HG02147	female	AMR	PEL	Y	Y
HG02496	male	AFR	ACB	Y	Y
HG02879	female	AFR	GWD	Y	Y
HG02573	male	AFR	GWD	Y	Y
HG02281	male	AFR	ACB	Y	Y
HG02580	female	AFR	ACB	Y	Y
HG02585	male	AFR	GWD	Y	Y
HG02255	male	AFR	ACB	Y	Y
HG02262	male	AMR	PEL	Y	Y
HG02597	male	SAS	PJL	Y	Y
HG02600	male	SAS	PJL	Y	Y
HG02298	female	AMR	PEL	Y	Y
HG02427	female	AFR	ACB	Y	Y
HG03081	male	AFR	MSL	Y	Y
HG02301	female	AMR	PEL	Y	Y
HG02439	male	AFR	ACB	Y	Y
HG03086	female	AFR	MSL	Y	Y
HG02224	male	EUR	IBS	Y	Y
HG02667	female	AFR	GWD	Y	Y
HG02944	male	AFR	ESN	Y	Y
HG03163	male	AFR	ESN	Y	Y
HG02775	female	SAS	PJL	Y	Y
HG02178	female	EAS	CDX	Y	Y
HG02185	female	EAS	CDX	Y	Y
HG02840	female	AFR	GWD	Y	Y
HG03303	female	AFR	ESN	Y	Y
HG02787	female	SAS	PJL	Y	Y
HG02471	female	AFR	ACB	Y	Y
HG02476	female	AFR	ACB	Y	Y
HG02737	female	SAS	PJL	Y	Y
HG03120	male	AFR	ESN	Y	Y
HG02332	male	AFR	ACB	Y	Y
HG02337	female	AFR	ACB	Y	Y
HG02807	male	AFR	GWD	Y	Y
HG02351	male	EAS	CDX	Y	Y
HG02814	female	AFR	GWD	Y	Y
HG02399	male	EAS	CDX	Y	Y
HG02725	female	SAS	PJL	Y	Y
HG03132	female	AFR	ESN	Y	Y
HG02356	male	EAS	CDX	Y	Y
HG02375	male	EAS	CDX	Y	Y
HG02382	male	EAS	CDX	Y	Y
HG02922	female	AFR	ESN	Y	Y
HG03019	female	SAS	PJL	Y	Y
HG03021	male	SAS	PJL	Y	Y
HG03478	male	AFR	MSL	Y	Y
HG02541	male	AFR	ACB	Y	Y
HG02558	female	AFR	ACB	Y	Y
HG03007	female	SAS	BEB	Y	Y
HG02490	male	SAS	PJL	Y	Y
HG03045	male	AFR	GWD	Y	Y
HG03428	female	AFR	MSL	Y	Y
HG03057	male	AFR	MSL	Y	Y
HG02445	male	AFR	ACB	Y	Y
HG02724	male	SAS	PJL	Y	Y
HG02946	female	AFR	ESN	Y	Y
HG02628	male	AFR	GWD	Y	Y
HG02642	male	AFR	GWD	Y	Y
HG03391	male	AFR	MSL	Y	Y
HG02611	female	AFR	GWD	Y	Y
HG02977	male	AFR	ESN	Y	Y
HG02623	male	AFR	GWD	Y	Y
HG02685	female	SAS	PJL	Y	Y
HG03649	male	SAS	PJL	Y	Y
HG02697	female	SAS	PJL	Y	Y
HG03095	female	AFR	MSL	Y	Y
HG02700	female	SAS	PJL	Y	Y
HG03228	male	SAS	PJL	Y	Y
HG03702	male	SAS	PJL	Y	Y
HG02678	male	AFR	GWD	Y	Y
HG03235	female	SAS	PJL	Y	Y
HG03714	female	SAS	ITU	Y	Y
HG03733	female	SAS	STU	Y	Y
HG02577	female	AFR	ACB	Y	Y
HG03740	male	SAS	STU	Y	Y
HG03115	male	AFR	ESN	Y	Y
HG03752	female	SAS	STU	Y	Y
HG03259	female	AFR	GWD	Y	Y
HG03593	male	SAS	BEB	Y	Y
HG02736	male	SAS	PJL	Y	Y
HG03139	male	AFR	ESN	Y	Y
HG02589	female	AFR	GWD	Y	Y
HG03668	female	SAS	PJL	Y	Y
HG02983	female	AFR	GWD	Y	Y
HG03209	male	AFR	MSL	Y	Y
HG03280	male	AFR	ESN	Y	Y
HG02837	female	AFR	GWD	Y	Y
HG03625	female	SAS	PJL	Y	Y
HG03172	male	AFR	ESN	Y	Y
HG02774	male	SAS	PJL	Y	Y
HG03189	female	AFR	ESN	Y	Y
HG02798	male	AFR	GWD	Y	Y
HG03757	female	SAS	STU	Y	Y
HG02813	male	AFR	GWD	Y	Y
HG03771	male	SAS	ITU	Y	Y
HG03538	male	AFR	GWD	Y	Y
HG03803	male	SAS	BEB	Y	Y
HG02976	female	AFR	ESN	Y	Y
HG03911	male	SAS	BEB	Y	Y
HG02793	female	SAS	PJL	Y	Y
HG03437	female	AFR	MSL	Y	Y
HG03884	female	SAS	STU	Y	Y
HG02938	male	AFR	ESN	Y	Y
HG03449	female	AFR	MSL	Y	Y
HG03896	male	SAS	STU	Y	Y
HG03343	male	AFR	ESN	Y	Y
HG03872	male	SAS	ITU	Y	Y
HG03169	male	AFR	ESN	Y	Y
HG03571	male	AFR	MSL	Y	Y
HG03018	male	SAS	PJL	Y	Y
HG03049	female	AFR	GWD	Y	Y
HG03916	female	SAS	BEB	Y	Y
HG03928	female	SAS	BEB	Y	Y
HG03499	female	AFR	ESN	Y	Y
HG03514	female	AFR	ESN	Y	Y
HG03947	female	SAS	STU	Y	Y
HG04003	male	SAS	STU	Y	Y
HG04015	male	SAS	ITU	Y	Y
HG04022	male	SAS	ITU	Y	Y
HG03099	female	AFR	ESN	Y	Y
HG03709	female	SAS	PJL	Y	Y
HG03114	female	AFR	ESN	Y	Y
HG03133	male	AFR	ESN	Y	Y
HG04096	male	SAS	ITU	Y	Y
HG03063	male	AFR	MSL	Y	Y
HG03660	male	SAS	PJL	Y	Y
HG04039	male	SAS	STU	Y	Y
HG03583	female	AFR	MSL	Y	Y
HG03973	female	SAS	ITU	Y	Y
HG03241	female	AFR	GWD	Y	Y
HG03691	male	SAS	STU	Y	Y
HG03696	male	SAS	STU	Y	Y
HG03342	female	AFR	ESN	Y	Y
HG03684	female	SAS	STU	Y	Y
HG03366	female	AFR	ESN	Y	Y
NA11840	female	EUR	CEU	Y	Y
HG03754	female	SAS	STU	Y	Y
HG03824	male	SAS	BEB	Y	Y
HG04229	male	SAS	STU	Y	Y
HG03829	female	SAS	BEB	Y	Y
HG03836	female	SAS	STU	Y	Y
HG04200	female	SAS	ITU	Y	Y
HG03436	male	AFR	MSL	Y	Y
HG03385	male	AFR	MSL	Y	Y
HG04185	male	SAS	BEB	Y	Y
HG04159	female	SAS	BEB	Y	Y
HG03773	male	SAS	ITU	Y	Y
HG03518	male	AFR	ESN	Y	Y
