Sample	Gender	Pop	Sub.pop	hg19	hg38
NA20827	male	EUR	TSI	Y	Y
NA18979	female	EAS	JPT	Y	Y
NA19663	female	AMR	MXL	Y	Y
NA19670	male	AMR	MXL	Y	Y
NA20884	male	SAS	GIH	Y	Y
NA20853	female	SAS	GIH	Y	Y
NA19059	female	EAS	JPT	Y	Y
NA19391	female	AFR	LWK	Y	Y
NA21135	male	SAS	GIH	Y	Y
NA19372	male	AFR	LWK	Y	Y
NA19377	female	AFR	LWK	Y	Y
NA19201	female	AFR	YRI	Y	Y
NA19461	male	AFR	LWK	Y	Y
NA19466	male	AFR	LWK	Y	Y
NA19788	female	AMR	MXL	Y	Y
NA21104	male	SAS	GIH	Y	Y
NA19117	male	AFR	YRI	Y	Y
NA19795	male	AMR	MXL	Y	Y
NA21109	male	SAS	GIH	Y	Y
NA19129	female	AFR	YRI	Y	Y
NA19834	male	AFR	ASW	Y	Y
NA21111	male	SAS	GIH	Y	Y
NA19904	male	AFR	ASW	Y	Y
NA19726	male	AMR	MXL	Y	Y
NA21123	male	SAS	GIH	Y	Y
NA21128	male	SAS	GIH	Y	Y
NA21130	male	SAS	GIH	Y	Y
NA19376	male	AFR	LWK	Y	Y
NA20127	female	AFR	ASW	Y	Y
NA19403	female	AFR	LWK	Y	Y
NA19764	female	AMR	MXL	Y	Y
NA21089	female	SAS	GIH	Y	Y
NA19771	male	AMR	MXL	Y	Y
NA21091	male	SAS	GIH	Y	Y
NA19439	female	AFR	LWK	Y	Y
NA19776	female	AMR	MXL	Y	Y
NA19783	male	AMR	MXL	Y	Y
NA19740	female	AMR	MXL	Y	Y
NA19383	male	AFR	LWK	Y	Y
NA19390	female	AFR	LWK	Y	Y
NA20348	male	AFR	ASW	Y	Y
NA19720	male	AMR	MXL	Y	Y
NA19725	female	AMR	MXL	Y	Y
NA19732	male	AMR	MXL	Y	Y
NA19681	female	AMR	MXL	Y	Y
NA19701	female	AFR	ASW	Y	Y
NA19648	female	AMR	MXL	Y	Y
NA19655	male	AMR	MXL	Y	Y
NA20778	male	EUR	TSI	Y	Y
NA19749	female	AMR	MXL	Y	Y
NA20792	male	EUR	TSI	Y	Y
NA20797	female	EUR	TSI	Y	Y
NA19756	male	AMR	MXL	Y	Y
NA19770	female	AMR	MXL	Y	Y
NA20507	female	EUR	TSI	Y	Y
NA20514	female	EUR	TSI	Y	Y
NA20519	male	EUR	TSI	Y	Y
NA20521	male	EUR	TSI	Y	Y
NA19794	female	AMR	MXL	Y	Y
NA20533	female	EUR	TSI	Y	Y
NA19819	female	AFR	ASW	Y	Y
NA20532	male	EUR	TSI	Y	Y
NA20761	female	EUR	TSI	Y	Y
NA20544	male	EUR	TSI	Y	Y
NA20773	female	EUR	TSI	Y	Y
NA20587	female	EUR	TSI	Y	Y
NA20901	male	SAS	GIH	Y	Y
NA20874	female	SAS	GIH	Y	Y
NA20881	female	SAS	GIH	Y	Y
NA20289	female	AFR	ASW	Y	Y
NA20809	male	EUR	TSI	Y	Y
NA20862	female	SAS	GIH	Y	Y
NA20867	male	SAS	GIH	Y	Y
NA20506	female	EUR	TSI	Y	Y
NA21137	female	SAS	GIH	Y	Y
NA20513	male	EUR	TSI	Y	Y
NA20520	male	EUR	TSI	Y	Y
NA20525	male	EUR	TSI	Y	Y
NA21101	female	SAS	GIH	Y	Y
NA20359	female	AFR	ASW	Y	Y
NA21113	male	SAS	GIH	Y	Y
NA20412	female	AFR	ASW	Y	Y
NA21118	male	SAS	GIH	Y	Y
NA21120	female	SAS	GIH	Y	Y
NA21125	female	SAS	GIH	Y	Y
NA21086	female	SAS	GIH	Y	Y
NA20828	female	EUR	TSI	Y	Y
NA20847	female	SAS	GIH	Y	Y
NA20342	male	AFR	ASW	Y	Y
NA21143	female	SAS	GIH	Y	Y
NA20859	female	SAS	GIH	Y	Y
NA20861	male	SAS	GIH	Y	Y
NA20866	male	SAS	GIH	Y	Y
NA20878	female	SAS	GIH	Y	Y
NA21117	male	SAS	GIH	Y	Y
NA21124	male	SAS	GIH	Y	Y
NA21129	male	SAS	GIH	Y	Y
NA21092	male	SAS	GIH	Y	Y
NA21097	female	SAS	GIH	Y	Y
NA21100	male	SAS	GIH	Y	Y
NA20897	male	SAS	GIH	Y	Y
NA20900	female	SAS	GIH	Y	Y
NA21105	male	SAS	GIH	Y	Y
NA21112	male	SAS	GIH	Y	Y
HG00106	female	EUR	GBR	Y	Y
HG00113	male	EUR	GBR	Y	Y
HG00118	female	EUR	GBR	Y	Y
HG00353	female	EUR	FIN	Y	Y
HG00360	male	EUR	FIN	Y	Y
HG00409	male	EAS	CHS	Y	Y
HG00428	female	EAS	CHS	Y	Y
HG00182	male	EUR	FIN	Y	Y
HG00238	female	EUR	GBR	Y	Y
HG00240	female	EUR	GBR	Y	Y
HG00271	male	EUR	FIN	Y	Y
HG00276	female	EUR	FIN	Y	Y
HG00288	female	EUR	FIN	Y	Y
HG00290	male	EUR	FIN	Y	Y
HG00149	male	EUR	GBR	Y	Y
HG00151	male	EUR	GBR	Y	Y
HG00308	male	EUR	FIN	Y	Y
HG00315	female	EUR	FIN	Y	Y
HG00327	female	EUR	FIN	Y	Y
HG00334	female	EUR	FIN	Y	Y
HG00245	female	EUR	GBR	Y	Y
HG00257	female	EUR	GBR	Y	Y
HG00264	male	EUR	GBR	Y	Y
HG00125	female	EUR	GBR	Y	Y
HG00132	female	EUR	GBR	Y	Y
HG00500	male	EAS	CHS	Y	Y
HG00524	male	EAS	CHS	Y	Y
HG00531	female	EAS	CHS	Y	Y
HG00675	female	EAS	CHS	Y	Y
HG00740	female	AMR	PUR	Y	Y
HG00620	female	EAS	CHS	Y	Y
HG00625	male	EAS	CHS	Y	Y
HG00632	female	EAS	CHS	Y	Y
HG00637	male	AMR	PUR	Y	Y
HG00473	female	EAS	CHS	Y	Y
HG00478	male	EAS	CHS	Y	Y
HG00663	female	EAS	CHS	Y	Y
HG00593	female	EAS	CHS	Y	Y
HG00613	male	EAS	CHS	Y	Y
HG00978	female	EAS	CDX	Y	Y
HG01197	male	AMR	PUR	Y	Y
HG01200	male	AMR	PUR	Y	Y
HG01205	female	AMR	PUR	Y	Y
HG01248	female	AMR	PUR	Y	Y
HG00179	female	EUR	FIN	Y	Y
HG00181	male	EUR	FIN	Y	Y
HG01281	female	AMR	CLM	Y	Y
HG00237	female	EUR	GBR	Y	Y
HG01286	male	AMR	PUR	Y	Y
HG00129	male	EUR	GBR	Y	Y
HG00131	male	EUR	GBR	Y	Y
HG00136	male	EUR	GBR	Y	Y
HG01111	female	AMR	PUR	Y	Y
HG00143	male	EUR	GBR	Y	Y
HG01130	male	AMR	CLM	Y	Y
HG00150	female	EUR	GBR	Y	Y
HG01142	male	AMR	CLM	Y	Y
HG00112	male	EUR	GBR	Y	Y
HG01046	female	EAS	CDX	Y	Y
HG00097	female	EUR	GBR	Y	Y
HG01058	female	AMR	PUR	Y	Y
HG01060	male	AMR	PUR	Y	Y
HG01072	male	AMR	PUR	Y	Y
HG01089	female	AMR	PUR	Y	Y
HG00554	female	AMR	PUR	Y	Y
HG01173	male	AMR	PUR	Y	Y
HG00566	female	EAS	CHS	Y	Y
HG01495	female	AMR	CLM	Y	Y
HG01503	male	EUR	IBS	Y	Y
HG00580	male	EAS	CHS	Y	Y
HG00369	male	EUR	FIN	Y	Y
HG01438	female	AMR	CLM	Y	Y
HG00376	female	EUR	FIN	Y	Y
HG01440	male	AMR	CLM	Y	Y
HG00383	female	EUR	FIN	Y	Y
HG00403	male	EAS	CHS	Y	Y
HG01351	female	AMR	CLM	Y	Y
HG01356	male	AMR	CLM	Y	Y
HG01363	female	AMR	CLM	Y	Y
HG01510	female	EUR	IBS	Y	Y
HG01515	male	EUR	IBS	Y	Y
HG00410	female	EAS	CHS	Y	Y
HG01522	female	EUR	IBS	Y	Y
HG00422	female	EAS	CHS	Y	Y
HG01464	male	AMR	CLM	Y	Y
HG00446	female	EAS	CHS	Y	Y
HG00244	male	EUR	GBR	Y	Y
HG01488	male	AMR	CLM	Y	Y
HG00251	male	EUR	GBR	Y	Y
HG00256	male	EUR	GBR	Y	Y
HG01325	male	AMR	PUR	Y	Y
HG01344	male	AMR	CLM	Y	Y
HG01375	female	AMR	CLM	Y	Y
HG00542	male	EAS	CHS	Y	Y
HG01402	male	AMR	PUR	Y	Y
HG01414	female	AMR	PUR	Y	Y
HG01572	female	AMR	PEL	Y	Y
HG00275	female	EUR	FIN	Y	Y
HG01577	male	AMR	PEL	Y	Y
HG00282	female	EUR	FIN	Y	Y
HG01596	male	EAS	KHV	Y	Y
HG00338	male	EUR	FIN	Y	Y
HG00345	male	EUR	FIN	Y	Y
HG01680	male	EUR	IBS	Y	Y
HG00357	female	EUR	FIN	Y	Y
HG00364	female	EUR	FIN	Y	Y
HG00321	male	EUR	FIN	Y	Y
HG01623	female	EUR	IBS	Y	Y
HG01628	female	EUR	IBS	Y	Y
HG00732	female	AMR	PUR	Y	Y
HG01565	male	AMR	PEL	Y	Y
HG00737	female	AMR	PUR	Y	Y
HG00693	female	EAS	CHS	Y	Y
HG00698	male	EAS	CHS	Y	Y
HG01762	female	EUR	IBS	Y	Y
HG00592	male	EAS	CHS	Y	Y
HG01630	male	EUR	IBS	Y	Y
HG01673	female	EUR	IBS	Y	Y
HG01705	male	EUR	IBS	Y	Y
HG00662	male	EAS	CHS	Y	Y
HG00674	male	EAS	CHS	Y	Y
HG01921	female	AMR	PEL	Y	Y
HG01926	male	AMR	PEL	Y	Y
HG01083	female	AMR	PUR	Y	Y
HG01870	female	EAS	KHV	Y	Y
HG01088	male	AMR	PUR	Y	Y
HG01882	male	AFR	ACB	Y	Y
HG01933	female	AMR	PEL	Y	Y
HG01095	female	AMR	PUR	Y	Y
HG01938	male	AMR	PEL	Y	Y
HG01064	female	AMR	PUR	Y	Y
HG01069	male	AMR	PUR	Y	Y
HG01844	male	EAS	KHV	Y	Y
HG01052	female	AMR	PUR	Y	Y
HG00864	female	EAS	CDX	Y	Y
HG01786	female	EUR	IBS	Y	Y
HG01110	male	AMR	PUR	Y	Y
HG01122	female	AMR	CLM	Y	Y
HG01798	female	EAS	CDX	Y	Y
HG01801	female	EAS	CDX	Y	Y
HG01374	male	AMR	CLM	Y	Y
HG01806	female	EAS	CDX	Y	Y
HG01945	female	AMR	PEL	Y	Y
HG01393	female	AMR	PUR	Y	Y
HG01851	female	EAS	KHV	Y	Y
HG01191	female	AMR	PUR	Y	Y
HG01204	male	AMR	PUR	Y	Y
HG02102	female	AMR	PEL	Y	Y
HG02107	male	AFR	ACB	Y	Y
HG01247	male	AMR	PUR	Y	Y
HG02121	female	EAS	KHV	Y	Y
HG01254	female	AMR	CLM	Y	Y
HG01259	male	AMR	CLM	Y	Y
HG01348	female	AMR	CLM	Y	Y
HG01362	male	AMR	CLM	Y	Y
HG02020	male	EAS	KHV	Y	Y
HG02025	female	EAS	KHV	Y	Y
HG01177	female	AMR	PUR	Y	Y
HG02032	male	EAS	KHV	Y	Y
HG01280	male	AMR	CLM	Y	Y
HG01305	male	AMR	PUR	Y	Y
HG02070	male	EAS	KHV	Y	Y
HG01134	female	AMR	CLM	Y	Y
HG01139	male	AMR	CLM	Y	Y
HG01971	female	AMR	PEL	Y	Y
HG01976	female	AMR	PEL	Y	Y
HG01312	female	AMR	PUR	Y	Y
HG02087	female	EAS	KHV	Y	Y
HG01571	male	AMR	PEL	Y	Y
HG01583	male	SAS	PJL	Y	Y
HG01595	female	EAS	KHV	Y	Y
HG01494	male	AMR	CLM	Y	Y
HG02215	female	EUR	GBR	Y	Y
HG02253	male	AMR	PEL	Y	Y
HG02260	female	AMR	PEL	Y	Y
HG02265	male	AMR	PEL	Y	Y
HG02272	female	AMR	PEL	Y	Y
HG02277	male	AMR	PEL	Y	Y
HG01432	female	AMR	CLM	Y	Y
HG01437	male	AMR	CLM	Y	Y
HG01444	female	AMR	CLM	Y	Y
HG01456	female	AMR	CLM	Y	Y
HG02330	male	AFR	ACB	Y	Y
HG01468	female	AMR	CLM	Y	Y
HG02133	female	EAS	KHV	Y	Y
HG01608	male	EUR	IBS	Y	Y
HG02140	female	EAS	KHV	Y	Y
HG01398	male	AMR	PUR	Y	Y
HG02152	female	EAS	CDX	Y	Y
HG01413	male	AMR	PUR	Y	Y
HG02291	male	AMR	PEL	Y	Y
HG02304	male	AMR	PEL	Y	Y
HG02239	female	EUR	IBS	Y	Y
HG02164	female	EAS	CDX	Y	Y
HG01797	female	EAS	CDX	Y	Y
HG02513	female	EAS	KHV	Y	Y
HG01817	female	EAS	CDX	Y	Y
HG01848	female	EAS	KHV	Y	Y
HG01850	female	EAS	KHV	Y	Y
HG01766	female	EUR	IBS	Y	Y
HG01773	female	EUR	IBS	Y	Y
HG02568	female	AFR	GWD	Y	Y
HG02429	male	AFR	ACB	Y	Y
HG01761	male	EUR	IBS	Y	Y
HG01684	female	EUR	IBS	Y	Y
HG02455	male	AFR	ACB	Y	Y
HG01615	male	EUR	IBS	Y	Y
HG02373	male	EAS	CDX	Y	Y
HG01704	female	EUR	IBS	Y	Y
HG02380	male	EAS	CDX	Y	Y
HG02385	male	EAS	CDX	Y	Y
HG01672	male	EUR	IBS	Y	Y
HG02715	male	AFR	GWD	Y	Y
HG01886	female	AFR	ACB	Y	Y
HG01893	female	AMR	PEL	Y	Y
HG02570	male	AFR	GWD	Y	Y
HG01951	female	AMR	PEL	Y	Y
HG01918	female	AMR	PEL	Y	Y
HG01920	male	AMR	PEL	Y	Y
HG02594	male	AFR	GWD	Y	Y
HG01970	male	AMR	PEL	Y	Y
HG02676	female	AFR	GWD	Y	Y
HG01982	male	AMR	PEL	Y	Y
HG01956	female	AFR	ACB	Y	Y
HG02688	female	SAS	PJL	Y	Y
HG01968	female	AMR	PEL	Y	Y
HG01932	male	AMR	PEL	Y	Y
HG02657	male	SAS	PJL	Y	Y
HG01855	female	EAS	KHV	Y	Y
HG02614	female	AFR	GWD	Y	Y
HG01862	female	EAS	KHV	Y	Y
HG02621	female	AFR	GWD	Y	Y
HG02943	female	AFR	ESN	Y	Y
HG02050	male	EAS	KHV	Y	Y
HG03009	male	SAS	BEB	Y	Y
HG02029	male	EAS	KHV	Y	Y
HG02081	female	EAS	KHV	Y	Y
HG02086	female	EAS	KHV	Y	Y
HG02012	female	AFR	ACB	Y	Y
HG02017	male	EAS	KHV	Y	Y
HG02811	female	AFR	GWD	Y	Y
HG02816	male	AFR	GWD	Y	Y
HG02156	female	EAS	CDX	Y	Y
HG02784	female	SAS	PJL	Y	Y
HG02789	male	SAS	PJL	Y	Y
HG02067	male	EAS	KHV	Y	Y
HG02334	male	AFR	ACB	Y	Y
HG02339	female	AFR	ACB	Y	Y
HG03078	male	AFR	MSL	Y	Y
HG02219	male	EUR	IBS	Y	Y
HG02221	male	EUR	IBS	Y	Y
HG02271	male	AMR	PEL	Y	Y
HG03105	female	AFR	ESN	Y	Y
HG02360	male	EAS	CDX	Y	Y
HG03061	female	AFR	MSL	Y	Y
HG03117	female	AFR	ESN	Y	Y
HG02238	male	EUR	IBS	Y	Y
HG02384	male	EAS	CDX	Y	Y
HG02389	male	EAS	CDX	Y	Y
HG03054	male	AFR	MSL	Y	Y
HG02391	male	EAS	CDX	Y	Y
HG03225	male	AFR	MSL	Y	Y
HG02396	male	EAS	CDX	Y	Y
HG03237	male	SAS	PJL	Y	Y
HG03198	female	AFR	ESN	Y	Y
HG02322	female	AFR	ACB	Y	Y
HG02252	female	AMR	PEL	Y	Y
HG03136	male	AFR	ESN	Y	Y
HG03268	male	AFR	ESN	Y	Y
HG02485	female	AFR	ACB	Y	Y
HG02574	female	AFR	GWD	Y	Y
HG03376	male	AFR	MSL	Y	Y
HG02586	female	AFR	GWD	Y	Y
HG03388	male	AFR	MSL	Y	Y
HG02497	female	AFR	ACB	Y	Y
HG02512	male	EAS	KHV	Y	Y
HG02536	male	AFR	ACB	Y	Y
HG02442	male	AFR	ACB	Y	Y
HG03484	male	AFR	MSL	Y	Y
HG03294	female	AFR	ESN	Y	Y
HG02555	female	AFR	ACB	Y	Y
HG02562	female	AFR	GWD	Y	Y
HG02613	male	AFR	GWD	Y	Y
HG02620	male	AFR	GWD	Y	Y
HG03410	female	AFR	MSL	Y	Y
HG03352	male	AFR	ESN	Y	Y
HG02601	female	SAS	PJL	Y	Y
HG03369	female	AFR	ESN	Y	Y
HG02409	male	EAS	CDX	Y	Y
HG02783	male	SAS	PJL	Y	Y
HG03446	female	AFR	MSL	Y	Y
HG02687	male	SAS	PJL	Y	Y
HG03667	male	SAS	PJL	Y	Y
HG03679	male	SAS	STU	Y	Y
HG02699	male	SAS	PJL	Y	Y
HG02702	male	AFR	GWD	Y	Y
HG03686	male	SAS	STU	Y	Y
HG03491	female	SAS	PJL	Y	Y
HG02733	male	SAS	PJL	Y	Y
HG03636	male	SAS	PJL	Y	Y
HG03693	male	SAS	STU	Y	Y
HG02682	female	SAS	PJL	Y	Y
HG03698	female	SAS	STU	Y	Y
HG03559	male	AFR	MSL	Y	Y
HG02808	female	AFR	GWD	Y	Y
HG02810	male	AFR	GWD	Y	Y
HG02649	female	SAS	PJL	Y	Y
HG02651	male	SAS	PJL	Y	Y
HG03643	female	SAS	STU	Y	Y
HG03022	female	SAS	PJL	Y	Y
HG03027	male	AFR	GWD	Y	Y
HG03547	male	AFR	MSL	Y	Y
HG03833	male	SAS	BEB	Y	Y
HG02891	female	AFR	GWD	Y	Y
HG03718	male	SAS	ITU	Y	Y
HG03720	male	SAS	ITU	Y	Y
HG03072	male	AFR	MSL	Y	Y
HG03814	female	SAS	BEB	Y	Y
HG03015	male	SAS	PJL	Y	Y
HG03782	female	SAS	ITU	Y	Y
HG03787	female	SAS	ITU	Y	Y
HG03046	female	AFR	GWD	Y	Y
HG03802	female	SAS	BEB	Y	Y
HG03706	female	SAS	PJL	Y	Y
HG02973	male	AFR	ESN	Y	Y
HG03713	male	SAS	ITU	Y	Y
HG02923	male	AFR	ESN	Y	Y
HG03770	female	SAS	ITU	Y	Y
HG03756	female	SAS	STU	Y	Y
HG02860	male	AFR	GWD	Y	Y
HG03857	female	SAS	STU	Y	Y
HG02839	male	AFR	GWD	Y	Y
HG03864	male	SAS	ITU	Y	Y
HG03871	male	SAS	ITU	Y	Y
HG03212	female	AFR	MSL	Y	Y
HG03908	male	SAS	BEB	Y	Y
HG03910	female	SAS	BEB	Y	Y
HG03096	male	AFR	MSL	Y	Y
HG03941	male	SAS	BEB	Y	Y
HG03953	male	SAS	STU	Y	Y
HG04014	female	SAS	ITU	Y	Y
HG04019	male	SAS	ITU	Y	Y
HG03279	female	AFR	ESN	Y	Y
HG04033	male	SAS	STU	Y	Y
HG03298	male	AFR	ESN	Y	Y
HG03922	female	SAS	BEB	Y	Y
HG03301	male	AFR	ESN	Y	Y
HG03109	male	AFR	ESN	Y	Y
HG03960	male	SAS	ITU	Y	Y
HG03977	female	SAS	ITU	Y	Y
HG03989	female	SAS	STU	Y	Y
HG03130	male	AFR	ESN	Y	Y
HG04002	male	SAS	ITU	Y	Y
HG03159	female	AFR	ESN	Y	Y
HG03888	female	SAS	STU	Y	Y
HG03890	male	SAS	STU	Y	Y
HG03229	female	SAS	PJL	Y	Y
HG03895	female	SAS	STU	Y	Y
HG03166	male	AFR	ESN	Y	Y
NA06989	female	EUR	CEU	Y	Y
HG03490	male	SAS	PJL	Y	Y
HG03433	male	AFR	MSL	Y	Y
HG04235	male	SAS	ITU	Y	Y
HG03445	male	AFR	MSL	Y	Y
HG03452	female	AFR	MSL	Y	Y
HG04209	female	SAS	ITU	Y	Y
HG04158	male	SAS	BEB	Y	Y
HG03469	male	AFR	MSL	Y	Y
HG04177	female	SAS	BEB	Y	Y
HG04141	female	SAS	BEB	Y	Y
HG04146	male	SAS	BEB	Y	Y
HG03370	male	AFR	ESN	Y	Y
HG04189	female	SAS	BEB	Y	Y
HG03382	male	AFR	MSL	Y	Y
HG03464	female	AFR	MSL	Y	Y
HG03313	male	AFR	ESN	Y	Y
HG04090	female	SAS	ITU	Y	Y
HG03565	male	AFR	MSL	Y	Y
NA11995	female	EUR	CEU	Y	Y
NA12006	female	EUR	CEU	Y	Y
HG03577	male	AFR	MSL	Y	Y
HG03692	female	SAS	STU	Y	Y
HG03697	male	SAS	STU	Y	Y
HG03589	female	SAS	BEB	Y	Y
NA12873	female	EUR	CEU	Y	Y
HG03673	female	SAS	STU	Y	Y
NA12878	female	EUR	CEU	Y	Y
HG03680	male	SAS	STU	Y	Y
HG03685	male	SAS	STU	Y	Y
HG03604	female	SAS	BEB	Y	Y
HG03616	female	SAS	BEB	Y	Y
NA12828	female	EUR	CEU	Y	Y
HG03717	female	SAS	ITU	Y	Y
NA12830	female	EUR	CEU	Y	Y
HG03731	female	SAS	ITU	Y	Y
NA11832	female	EUR	CEU	Y	Y
NA11894	female	EUR	CEU	Y	Y
HG03882	female	SAS	ITU	Y	Y
HG03887	male	SAS	STU	Y	Y
NA12272	male	EUR	CEU	Y	Y
HG03894	female	SAS	STU	Y	Y
HG03899	male	SAS	STU	Y	Y
NA18504	male	AFR	YRI	Y	Y
HG03837	male	SAS	STU	Y	Y
HG03736	female	SAS	STU	Y	Y
NA18511	female	AFR	YRI	Y	Y
NA18516	male	AFR	YRI	Y	Y
HG03750	male	SAS	STU	Y	Y
NA18523	female	AFR	YRI	Y	Y
HG03755	male	SAS	STU	Y	Y
NA12400	female	EUR	CEU	Y	Y
HG03774	female	SAS	ITU	Y	Y
HG03786	male	SAS	ITU	Y	Y
HG03793	female	SAS	BEB	Y	Y
NA18535	female	EAS	CHB	Y	Y
NA18542	female	EAS	CHB	Y	Y
HG03849	female	SAS	STU	Y	Y
HG03851	male	SAS	STU	Y	Y
NA18915	male	AFR	YRI	Y	Y
HG03863	female	SAS	ITU	Y	Y
NA18939	female	EAS	JPT	Y	Y
HG03868	female	SAS	ITU	Y	Y
NA18941	female	EAS	JPT	Y	Y
HG03870	male	SAS	ITU	Y	Y
NA18946	female	EAS	JPT	Y	Y
HG03875	male	SAS	ITU	Y	Y
HG03762	female	SAS	PJL	Y	Y
NA18864	female	AFR	YRI	Y	Y
HG04063	female	SAS	ITU	Y	Y
HG04070	female	SAS	ITU	Y	Y
NA18559	male	EAS	CHB	Y	Y
HG04075	female	SAS	STU	Y	Y
HG04094	male	SAS	ITU	Y	Y
HG04099	female	SAS	STU	Y	Y
HG04107	male	SAS	STU	Y	Y
NA18597	female	EAS	CHB	Y	Y
NA18629	male	EAS	CHB	Y	Y
HG03990	male	SAS	STU	Y	Y
NA18631	female	EAS	CHB	Y	Y
HG03995	female	SAS	STU	Y	Y
NA18643	male	EAS	CHB	Y	Y
HG04006	male	SAS	STU	Y	Y
NA18876	female	AFR	YRI	Y	Y
HG04018	female	SAS	ITU	Y	Y
NA18908	male	AFR	YRI	Y	Y
HG04020	male	SAS	ITU	Y	Y
NA18910	male	AFR	YRI	Y	Y
HG04025	female	SAS	ITU	Y	Y
NA18612	male	EAS	CHB	Y	Y
NA18617	female	EAS	CHB	Y	Y
NA18624	male	EAS	CHB	Y	Y
HG03914	male	SAS	BEB	Y	Y
HG03940	female	SAS	BEB	Y	Y
HG03945	female	SAS	STU	Y	Y
NA18953	male	EAS	JPT	Y	Y
HG03926	male	SAS	BEB	Y	Y
HG03969	male	SAS	ITU	Y	Y
HG03971	male	SAS	ITU	Y	Y
HG03976	male	SAS	ITU	Y	Y
NA11829	male	EUR	CEU	Y	Y
NA11843	male	EUR	CEU	Y	Y
NA19108	female	AFR	YRI	Y	Y
NA11881	male	EUR	CEU	Y	Y
NA19007	male	EAS	JPT	Y	Y
NA11893	male	EUR	CEU	Y	Y
NA19026	male	AFR	LWK	Y	Y
NA07056	female	EUR	CEU	Y	Y
NA18977	male	EAS	JPT	Y	Y
NA07347	male	EUR	CEU	Y	Y
NA18989	male	EAS	JPT	Y	Y
NA19076	male	EAS	JPT	Y	Y
NA07037	female	EUR	CEU	Y	Y
NA19083	male	EAS	JPT	Y	Y
NA19088	male	EAS	JPT	Y	Y
NA19057	female	EAS	JPT	Y	Y
NA18972	female	EAS	JPT	Y	Y
HG04164	male	SAS	BEB	Y	Y
NA19002	female	EAS	JPT	Y	Y
HG04171	female	SAS	BEB	Y	Y
NA19038	female	AFR	LWK	Y	Y
HG04176	male	SAS	BEB	Y	Y
HG04239	male	SAS	ITU	Y	Y
HG04183	female	SAS	BEB	Y	Y
HG04188	male	SAS	BEB	Y	Y
HG04195	female	SAS	BEB	Y	Y
NA19153	male	AFR	YRI	Y	Y
HG04210	male	SAS	STU	Y	Y
HG04140	male	SAS	BEB	Y	Y
HG04152	male	SAS	BEB	Y	Y
NA19235	female	AFR	YRI	Y	Y
NA19247	female	AFR	YRI	Y	Y
NA12889	male	EUR	CEU	Y	Y
NA19312	male	AFR	LWK	Y	Y
NA18488	female	AFR	YRI	Y	Y
NA19379	female	AFR	LWK	Y	Y
NA11920	female	EUR	CEU	Y	Y
NA11994	male	EUR	CEU	Y	Y
NA19401	female	AFR	LWK	Y	Y
NA12043	male	EUR	CEU	Y	Y
NA12144	male	EUR	CEU	Y	Y
NA12156	female	EUR	CEU	Y	Y
NA19451	male	AFR	LWK	Y	Y
NA18534	male	EAS	CHB	Y	Y
NA19456	female	AFR	LWK	Y	Y
NA19463	female	AFR	LWK	Y	Y
NA19355	female	AFR	LWK	Y	Y
NA12815	female	EUR	CEU	Y	Y
NA12827	male	EUR	CEU	Y	Y
NA19317	male	AFR	LWK	Y	Y
NA18510	male	AFR	YRI	Y	Y
NA19761	female	AMR	MXL	Y	Y
NA18546	male	EAS	CHB	Y	Y
NA19773	female	AMR	MXL	Y	Y
NA18553	female	EAS	CHB	Y	Y
NA19780	male	AMR	MXL	Y	Y
NA19785	female	AMR	MXL	Y	Y
NA18565	female	EAS	CHB	Y	Y
NA19658	male	AMR	MXL	Y	Y
NA12283	female	EUR	CEU	Y	Y
NA18577	female	EAS	CHB	Y	Y
NA19735	male	AMR	MXL	Y	Y
NA18596	female	EAS	CHB	Y	Y
NA19747	male	AMR	MXL	Y	Y
NA19759	male	AMR	MXL	Y	Y
NA19716	female	AMR	MXL	Y	Y
NA19723	male	AMR	MXL	Y	Y
NA19728	female	AMR	MXL	Y	Y
NA18940	male	EAS	JPT	Y	Y
NA18945	male	EAS	JPT	Y	Y
NA19792	male	AMR	MXL	Y	Y
NA19901	female	AFR	ASW	Y	Y
NA18870	female	AFR	YRI	Y	Y
NA19913	female	AFR	ASW	Y	Y
NA18616	female	EAS	CHB	Y	Y
NA18623	male	EAS	CHB	Y	Y
NA19684	female	AMR	MXL	Y	Y
NA18628	female	EAS	CHB	Y	Y
NA19704	female	AFR	ASW	Y	Y
NA18630	female	EAS	CHB	Y	Y
NA19711	male	AFR	ASW	Y	Y
NA18907	female	AFR	YRI	Y	Y
NA18983	male	EAS	JPT	Y	Y
NA20287	female	AFR	ASW	Y	Y
NA18988	male	EAS	JPT	Y	Y
NA20504	female	EUR	TSI	Y	Y
NA20511	male	EUR	TSI	Y	Y
NA20516	male	EUR	TSI	Y	Y
NA18748	male	EAS	CHB	Y	Y
NA20775	female	EUR	TSI	Y	Y
NA20787	male	EUR	TSI	Y	Y
NA18957	female	EAS	JPT	Y	Y
NA20799	female	EUR	TSI	Y	Y
NA19114	female	AFR	YRI	Y	Y
NA20814	male	EUR	TSI	Y	Y
NA19138	male	AFR	YRI	Y	Y
NA20530	female	EUR	TSI	Y	Y
NA19099	female	AFR	YRI	Y	Y
NA19102	female	AFR	YRI	Y	Y
NA19107	male	AFR	YRI	Y	Y
NA19171	male	AFR	YRI	Y	Y
NA20821	female	EUR	TSI	Y	Y
NA19056	male	EAS	JPT	Y	Y
NA20756	female	EUR	TSI	Y	Y
